,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,24,6,4,5,10,10,13,13,10,11,22,29,39,62,63,100,100,100,91,85,81,95,95,100,50,33,30,29,36,46,70,77,100,100,88,73,93,100,100,82,75,85,98,85,66,64,32,11,9,11,10,15,16,11,7,5,5,6,6,4,4,8,8,7,9,3,11,9,14,14,4,4,4,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,34,20,3,6,7,9,10,9,9,13,16,28,65,100,74,70,100,100,100,100,100,87,71,77,100,52,16,16,6,21,31,28,37,72,98,58,59,75,77,57,64,75,73,95,76,87,100,56,19,16,14,15,16,15,9,5,3,4,5,4,6,6,5,6,9,10,5,6,6,16,16,8,5,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,17,33,17,4,7,7,8,7,10,16,23,27,72,100,100,69,87,100,100,100,100,100,99,76,84,100,80,47,34,11,16,15,15,20,43,72,67,61,70,79,81,90,100,86,87,100,100,100,67,30,24,21,17,15,14,7,3,3,3,4,5,5,5,7,7,12,14,9,4,11,22,25,16,11,20,45,67,89,100,92,72,59,46,40,20,8,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,25,23,30,14,2,3,5,9,17,25,32,42,50,99,100,100,71,75,100,100,100,78,70,44,91,63,100,71,48,42,16,13,13,17,20,40,53,43,43,52,61,69,78,100,97,76,89,100,100,60,34,27,26,31,23,12,7,3,3,4,9,8,3,6,9,11,17,24,20,18,21,33,32,23,27,41,60,37,100,100,45,53,37,41,24,11,30,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,27,17,18,25,16,12,14,21,28,46,61,72,92,100,100,100,100,85,59,100,100,100,100,100,38,100,65,98,71,60,50,20,11,12,14,16,27,36,34,38,44,57,65,87,100,100,100,100,98,100,56,33,32,45,44,24,14,9,2,3,12,15,12,10,16,21,24,40,48,51,47,49,52,51,48,55,53,28,38,43,30,33,39,37,29,19,38,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,26,15,12,19,19,19,19,34,47,36,71,91,95,100,100,100,100,100,52,65,100,100,100,100,100,30,100,87,98,76,61,53,23,11,11,12,13,22,23,24,25,31,43,53,75,100,100,100,100,100,98,55,27,34,50,40,23,22,11,3,10,18,19,20,19,29,37,42,60,59,60,61,61,62,61,59,71,37,15,28,28,17,27,45,34,28,41,55,64,43,9,16,21,31,3,19,11,10,13,11,19,18,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,10,15,7,15,18,11,14,43,69,71,58,96,88,94,97,100,100,100,99,52,85,100,100,100,100,100,50,100,100,84,58,68,58,30,19,16,10,10,16,21,23,27,23,21,32,56,100,100,73,100,100,100,54,23,29,38,29,25,30,18,17,25,32,35,37,41,55,63,71,78,58,60,56,52,45,38,53,75,32,56,82,60,28,57,63,53,74,86,95,99,71,7,19,21,20,11,31,38,15,7,16,19,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,68,34,10,10,9,14,19,17,16,45,85,100,100,100,100,99,100,100,100,100,100,100,90,79,100,100,100,100,100,66,100,100,67,60,71,66,39,29,19,13,20,34,39,47,52,40,23,29,67,100,98,100,100,100,100,47,31,24,30,29,33,32,36,39,45,53,58,70,79,91,100,100,85,86,62,58,47,38,48,62,82,99,100,100,95,78,89,92,100,100,100,100,100,77,11,22,14,15,38,55,41,16,10,13,15,24,30,27,25,23,53,100,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,52,36,12,6,8,5,16,36,52,49,67,87,84,98,100,100,100,100,100,100,100,100,100,100,66,100,100,100,100,100,42,80,66,62,65,78,64,40,48,40,19,24,29,56,53,71,55,39,32,68,100,91,100,100,100,95,39,37,42,41,46,46,42,52,50,55,62,74,94,85,94,100,100,100,83,93,79,82,42,61,100,68,93,100,100,89,87,94,83,88,100,100,100,100,63,17,21,15,23,31,31,14,23,23,24,24,29,25,29,33,41,94,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,41,24,17,7,6,8,9,32,71,69,59,73,100,100,100,100,100,100,100,100,100,100,100,100,83,79,100,100,100,100,100,70,67,94,98,83,74,63,66,73,45,29,37,65,83,59,100,89,66,64,57,86,98,100,100,99,85,75,70,66,69,73,68,68,74,70,71,78,100,73,100,100,100,100,100,100,93,100,100,100,100,100,69,99,100,100,99,94,84,100,100,99,83,87,100,57,29,22,10,25,23,26,28,29,33,23,20,16,20,33,51,78,91,92,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
